CONTA,PETRÓLEO,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,URÂNIO U3O8,ENERGIA HIDRÁULICA,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ENERGIA PRIMÁRIA TOTAL,BIODIESEL,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,NAFTA,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,URÂNIO CONTIDO NO UO2,ELETRICIDADE,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO,ALCATRÃO,ENERGIA SECUNDÁRIA TOTAL,TOTAL,Ano
    PRODUÇÃO  ,174370,55629,2153.93546171984,0,1008,36274,27372,54158,44568,395535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395535,2024-01-01
    IMPORTAÇÃO  ,13374,7105,4490.86831039919,7429,2341,0,0,0,0,34742,0,10870,58,2109,2062,4967,921,0,1200,1620,1212,0,56,5736,1809,0,32624,67367,2024-01-01
    VARIAÇÃO DE ESTOQUES  ,800,0,-661.352199832323,55,-391,0,0,0,0,-196,-14,-541,-545,-373,30,-303,-6,0,-238,-422,0,0,478,92,-35,0,-1880,-2077,2024-01-01
 OFERTA TOTAL  ,188546,62734,5983.45157228671,7485,2958,36274,27372,54158,44568,430081,-14,10328,-486,1736,2092,4663,914,0,961,1197,1212,0,534,5829,1773,0,30743,460825,2024-01-01
    EXPORTAÇÃO  ,-84990,0,0.0,0,0,0,0,0,0,-84990,-63,-1174,-14181,-1525,-16,-65,-2366,0,0,0,-215,0,-978,-1240,-251,0,-22079,-107069,2024-01-01
    NÃO-APROVEITADA  ,0,-1563,0.0,0,0,0,0,0,0,-1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1563,2024-01-01
    REINJEÇÃO  ,0,-30200,0.0,0,0,0,0,0,0,-30200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30200,2024-01-01
 OFERTA INTERNA BRUTA  ,103556,30969,5983.45157228671,7485,2958,36274,27372,54158,44568,313327,-77,9153,-14668,211,2075,4598,-1451,0,961,1197,996,0,-443,4588,1521,0,8663,321991,2024-01-01
 TOTAL TRANSFORMAÇÃO  ,-103399,-15877,-2584.39403648672,-7475,-2958,-36274,-8395,-21559,-32204,-230730,7088,40356,16508,24600,6380,1232,4823,1313,6537,-1197,64614,4177,19760,4125,6384,243,206952,-23777,2024-01-01
    REFINARIAS DE PETRÓLEO  ,-101629,0,0.0,0,0,0,0,0,-3777,-105406,0,41482,16741,23146,4831,4108,4823,0,0,0,0,0,0,4614,5648,0,105398,-8,2024-01-01
    PLANTAS DE GÁS NATURAL  ,0,-3524,0.0,0,0,0,0,0,1128,-2396,0,0,0,0,1454,0,0,0,0,0,0,0,0,0,851,0,2306,-89,2024-01-01
    USINAS DE GASEIFICAÇÃO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-01
    COQUERIAS,0,0,,-7475,0,0,0,0,0,-7475,0,0,0,0,0,0,0,1578,6537,0,0,0,0,-1213,0,247,7150,-325,2024-01-01
    CICLO DO COMBUSTÍVEL NUCLEAR,0,0,0.0,0,-2958,0,0,0,0,-2958,0,0,0,0,0,0,0,0,0,2911,0,0,0,0,0,0,2911,-47,2024-01-01
    CENTRAIS ELÉTRICAS DE SERVIÇO PÚBLICO,0,-6106,-2371.55654879918,0,0,-34277,-10,0,-12004,-54769,-84,-582,-77,0,0,0,0,0,0,-4108,51147,0,0,-61,0,0,46233,-8536,2024-01-01
